粤文,第名,葡文,類-粵,類-葡,特殊,私家路,地區,位置1,位置2,加筆,,粵文,葡文,方程式（A1爲例）,數
東北巷,,Travessa do Nordeste,巷,Travessa,,,,,,,,,,,
大廟巷,,Travessa do Pagode,巷,Travessa,,,,,,,,,,,
布巷,,Travessa do Pano,巷,Travessa,,,,,,,,,,,
平線巷,,Travessa do Paralelo,巷,Travessa,,,,,,,,,,,
牧羊巷,,Travessa do Pastor,巷,Travessa,,,,,,,,,,,
沙梨頭巷,,Travessa do Patane,巷,Travessa,,,澳門,,,,,,,,
永安下巷,,Travessa do Pau,巷,Travessa,,,,,,,,,,,
火水巷,,Travessa do Petróleo,巷,Travessa,,,澳門,,,,,,,,
水塘巷,,Travessa do Reservatório,巷,Travessa,,,,,,,,,,,
鹽巷,,Travessa do Sal,巷,Travessa,,,,,,,,,,,
竹帽巷,,Travessa do Tudum,巷,Travessa,,,澳門,,,,,,,,
山洞巷,,Travessa do Túnel,巷,Travessa,,,澳門,,,,,,,,
台山新城市第二巷,,Travessa Dois da Cidade Nova de T'oi Sán,巷,Travessa,,,,,,,,,,,
龍爪角第二巷,,Travessa Dois de Long Chao Kok,巷,Travessa,,,,,,,,,,,
北安碼頭二巷,,Travessa Dois do Cais de Pac On,巷,Travessa,,,,,,,,,,,
工業園二巷,,Travessa Dois do Parque Industrial,巷,Travessa,,,澳門,青洲,,,,,,,
小新巷 ,,Travessa dos Alfaiates,巷,Travessa,,,澳門,,,,,,,,
高尾巷,高尾街,Travessa dos Algibebes,巷,Travessa,,,,大三巴,,,,,,,
貨倉巷,,Travessa dos Armazéns,巷,Travessa,,,,,,,,,,,
炮兵巷,,Travessa dos Artilheiros,巷,Travessa,,,,,,,,,,,
掙匠巷,,Travessa dos Calafates,巷,Travessa,,,,,,,,,,,
騎士巷,,Travessa dos Cavaleiros,巷,Travessa,,,,,,,,,,,
工匠巷,,Travessa dos Colonos,巷,Travessa,,,澳門,,,,,,,,
郵電巷,,Travessa dos Correios,巷,Travessa,,,,,,,,,,,
轎夫巷,,Travessa dos Cules,巷,Travessa,,,,,,,,,,,
牧場巷,,Travessa dos Currais,巷,Travessa,,,,,,,,,,,
船廠巷,,Travessa dos Estaleiros,巷,Travessa,,,,,,,,,,,
快艇巷,永安中街,Travessa dos Faitiões,巷,Travessa,,,澳門,,,,,,,,
下環舊巷 ,,Travessa dos Juncos,巷,Travessa,,,澳門,,,,,,,,
蓮花巷,,Travessa dos Lótus,巷,Travessa,,,,,,,,,,,
買賣巷,,Travessa dos Mercadores,巷,Travessa,,,氹仔,官也街,,,,,,,
蛋巷,永安上街,Travessa dos Ovos,巷,Travessa,,,,,,,,,,,
漁翁巷,,Travessa dos Pescadores,巷,Travessa,,,,,,,,,,,
大井巷,,Travessa dos Poços,巷,Travessa,,,澳門,,,,,,,,
馬車巷 ,夜呣前街／馬巷,Travessa dos Tréns,巷,Travessa,,,,,,,,,,,
小販巷,下環小市,Travessa dos Vendilhões,巷,Travessa,,,澳門,,,,,,,,
老虎巷,,Travessa Lou Fu,巷,Travessa,,,氹仔,官也街,,,,,,,
黑沙環海邊巷,,Travessa Marginal da Areia Preta,巷,Travessa,,,,,,,,,,,
菜園涌邊巷,,Travessa Marginal do Canal das Hortas,巷,Travessa,,,,,,,,,,,
林茂海邊巷,,Travessa Marginal do Lam Mau,巷,Travessa,,,,,,,,,,,
南灣北巷,,Travessa Norte da Praia Grande,巷,Travessa,,,澳門,,,,,,,,
大炮台北巷,,Travessa Norte do Monte,巷,Travessa,,,澳門,,,,,,,,
沙梨頭北巷,,Travessa Norte do Patane,巷,Travessa,,,澳門,,,,,,,,
新巷,,Travessa Nova,巷,Travessa,,,氹仔,,,,,,,,
黑沙環新巷,,Travessa Nova da Areia Preta,巷,Travessa,,,,,,,,,,,
叢慶四巷,,Travessa Quarta do Pátio do Jardim,巷,Travessa,,,,,,,,,,,
叢慶二巷,,Travessa Segunda do Pátio do Jardim,巷,Travessa,,,,,,,,,,,
南灣南巷,,Travessa Sul da Praia Grande,巷,Travessa,,,澳門,,,,,,,,
南灣南巷,,Travessa Sul da Praia Grande,巷,Travessa,,,,,,,,,,,
叢慶三巷,,Travessa Terceira do Pátio do Jardim,巷,Travessa,,,,,,,,,,,
龍爪角第三巷,,Travessa Três de Long Chao Kok,巷,Travessa,,,,,,,,,,,
工業園三巷,,Travessa Três do Parque Industrial,巷,Travessa,,,澳門,青洲,,,,,,,
台山新城市第一巷,,Travessa Um da Cidade Nova de T'oi Sán,巷,Travessa,,,,,,,,,,,
龍爪角第一巷,,Travessa Um de Long Chao Kok,巷,Travessa,,,路環,,,,,,,,
北安碼頭一巷,,Travessa Um do Cais de Pac On,巷,Travessa,,,,,,,,,,,
工業園一巷,,Travessa Um do Parque Industrial,巷,Travessa,,,澳門,青洲,,,,,,,
水塘步行徑,,Trilha de Caminhada do Reservatório,徑,Trilha,,,,,,,,,,,
黑沙龍爪角海岸徑,,Trilho à Beira-Mar de Long Chao Kok,徑,Trilha,,,,,,,,,,,
大潭山環山徑,,Trilho da Taipa Grande,徑,Trilha,,,,,,,,,,,
小潭山 2000 環山徑,,Trilho da Taipa Pequena 2000,徑,Trilha,,,,,,,,,,,
路環步行徑,,Trilho de Coloane,徑,Trilha,,,,,,,,,,,
黑沙龍爪角家樂徑,,Trilho do Morro de Hác-Sá,徑,Trilha,,,,,,,,,,,
金像步行徑,,Trilho do Óscar,徑,Trilha,,,,,,,,,,,
松山隧道,,Túnel do Monte da Guia,隧道,Túnel,,,,,,,,,,,
澳門大學行人隧道,,Túnel do pedestres para Universidade,隧道,Túnel,,,,,,,,,,,
氹仔隧道,,Túnel do Taipa,隧道,Túnel,,,,,,,,,,,
澳大河底隧道,,Túnel para o Novo Campus da Universidade de Macau,隧道,Túnel,,,,,,,,,,,
望德聖母灣大馬路步行系統,,Ligação Pedonal na Estrada da Baía de Nossa Senhora de Esperança,,,,,,,,,,,,,
氹仔基馬拉斯大馬路空中走廊,,Obra de construção da travessia pedonal ao longo da Avenida de Guimarães na Taipa,,,,,,,,,,,,,
路環東北步行徑系統,,Rede de Trilhos do Nordeste de Coloane,,,,,,,,,,,,,
西灣大橋下層車道,,Tabuleiro Inferior da Ponte de Sai Van,,,,,,,,,,,,,
百老匯大街,,The Broadway,,,,商業,,,,,,,,,
路氹連貫公路圓形地下層行車道,,Via de Circulação Desnivelada na Rotunda do Istmo Coloane-Taipa,,,,,,,,,,,,,
新雅馬路行車天橋,,Viaduto da Estrada da Bela Vista,,,,,,,,,,,,,
